,=VeryGood=,Stamp and Scrape,Unnamed: 2,Unnamed: 3,Unnamed: 4
8445,=Poor=,ughhhh,,,
8446,=Good=,Just better than average,,,
8447,=Good=,So-So,,,
8448,=Excellent=,Such great lotion...,,,
8449,=Good=,NYX Yellow Concealer in a Jar Review ->,,,
8450,=Poor=,IF I could give it NO stars I would! - USE CAUTION-,,,
8451,=Unsatisfactory=,Average Vaseline Lotion with Fancy Descriptions,,,
8452,=VeryGood=,A good moisturizer,,,
8453,=Excellent=,Love it,,,
8454,=Poor=,wasn't the same product,,,
8455,=Excellent=,My one and only eyeliner!,,,
8456,=Good=,Hmmmm,,,
8457,=Good=,"Can't \see\"" any improvement.""",,,
8458,=Poor=,does not stay in hair very flimsy,,,
8459,=Poor=,Nope,,,
8460,=Excellent=,Handle optional!,,,
8461,=Unsatisfactory=,Way too sparkly,,,
8462,=Excellent=,Vanicream Fan,,,
8463,=Unsatisfactory=,Not impressed,,,
8464,=Unsatisfactory=,not as good as the previous formulation,,,
8465,=Excellent=,love!,,,
8466,=Poor=,Makes my hair  hard,,,
8467,=VeryGood=,amazing,,,
8468,=Poor=,Didn't do anything,,,
8469,=Poor=,Haven't used yet,,,
8470,=Good=,Basically OK,,,
8471,=Poor=,Not for my hair,,,
8472,=Excellent=,Great on AA natural hair,,,
8473,=Unsatisfactory=,"Love the product, hate the packaging",,,
8474,=Good=,its ok,,,
8475,=Poor=,Nothing good to report,,,
8476,=Good=,"Fairly effective cleanser, but not a miracle",,,
8477,=VeryGood=,Nice for work and daily wear but is barely noticeable after a few hours.,,,
8478,=Good=,Lip... meh?,,,
8479,=Good=,Not resilient,,,
8480,=Good=,Overpriced for results,,,
8481,=Poor=,Cannot use,,,
8482,=Excellent=,Netrogena Pore Refining Toner,,,
8483,=Good=,Worked for a while,,,
8484,=Poor=,Not 100% Argon Oil,,,
8485,=Poor=,useless,,,
8486,=Excellent=,High quality and divine.,,,
8487,=Poor=,Did nothing,,,
8488,=Poor=,Terrible!,,,
8489,=Good=,Good top coat,,,
8490,=Excellent=,Good product,,,
8491,=Excellent=,Works just like it says it will,,,
8492,=Poor=,so unhelpful,,,
8493,=Excellent=,Great product!,,,
8494,=Excellent=,Great Serum,,,
8495,=Excellent=,Love,,,
8496,=VeryGood=,"a great, cleansing shampoo...",,,
8497,=Good=,not much improvement,,,
8498,=Good=,Cleans,,,
8499,=Poor=,Strips hair,,,
8500,=Excellent=,Can't Live Without!,,,
8501,=Poor=,Reputable company but product was a disaster for me,,,
8502,=Unsatisfactory=,Waste of money since product does not work for me,,,
8503,=Excellent=,good stuff,,,
8504,=Good=,Average product,,,
8505,=Good=,Not sure yet!,,,
8506,=VeryGood=,"Works, but won't stay on my nails",,,
8507,=Excellent=,Love this stuff,,,
8508,=Excellent=,use it all the time,,,
8509,=Unsatisfactory=,Greasy,,,
8510,=Excellent=,"Feria, the only box I trust.",,,
8511,=Excellent=,I love all philosophy products,,,
8512,=Excellent=,toppik hair building fibers,,,
8513,=Unsatisfactory=,dont like the product at all ...waste of money,,,
8514,=Excellent=,My hair loves this stuff!,,,
8515,=Unsatisfactory=,Delon cotton rounds,,,
8516,=Excellent=,Great Product,,,
8517,=Unsatisfactory=,I love Essie but I don't love this one...,,,
8518,=VeryGood=,Simple and pretty,,,
8519,=Excellent=,Immerse in the Big Blue,,,
8520,=VeryGood=,A decent brush,,,
8521,=Excellent=,Great color/Great polish,,,
8522,=Unsatisfactory=,Two Stars,,,
8523,=Excellent=,Great,,,
8524,=Excellent=,Stays on all day,,,
8525,=Good=,"A Luscious lotion for those who enjoy very tropical, stronger scents.",,,
8526,=Good=,Might work for you,,,
8527,=VeryGood=,It works but....,,,
8528,=Poor=,Cheesy cheap cheap.,,,
8529,=Good=,ok,,,
8530,=Poor=,HORRIBLE!,,,
8531,=Excellent=,does the job,,,
8532,=VeryGood=,Tantalizing Scent,,,
8533,=VeryGood=,Added subtle highlights on black Asian hair,,,
8534,=Poor=,ok,,,
8535,=Excellent=,Great!,,,
8536,=Poor=,does not heat up,,,
8537,=Excellent=,Hair dresser's dream product,,,
8538,=Good=,"Love the product for sensitive skin, faulty pump",,,
8539,=Good=,Perfume spills inside the box!!!!,,,
8540,=Good=,I like the creme version better,,,
8541,=Excellent=,"A happy, not expected reaction... ;)",,,
8542,=Poor=,I REGRET BUYING THIS,,,
8543,=VeryGood=,"It works, stay hydrated",,,
8544,=Excellent=,Fast Shipping,,,
8545,=Excellent=,Essie st. Lucia lilac,,,
8546,=Good=,Mona Lisa,,,
8547,=Excellent=,Good!,,,
8548,=Poor=,Not a pleasing product (D Grade),,,
8549,=Poor=,Great Shampoo,,,
8550,=Unsatisfactory=,Not high quality,,,
8551,=Poor=,Eyeliner JOKE,,,
8552,=Poor=,"Smells bad, doesn't work well",,,
8553,=Excellent=,Excellent for hair regrowth!,,,
8554,=Poor=,TOMATOES,,,
8555,=Excellent=,Fresh and wholesome,,,
8556,=Poor=,Noxious odor,,,
8557,=Unsatisfactory=,"Eh, not my favorite",,,
8558,=VeryGood=,Perfect under loose powder,,,
8559,=VeryGood=,Not what I expected but I do like it.,,,
8560,=Poor=,Tested on my husband. No reaction.,,,
8561,=VeryGood=,does what its supposed to,,,
8562,=Unsatisfactory=,this stuff doesn't really work,,,
8563,=Unsatisfactory=,Not for Shellac,,,
8564,=Good=,Doesn't give any coverage...,,,
8565,=Excellent=,Neat solution to age-old problem,,,
8566,=Good=,Least Favorite,,,
8567,=VeryGood=,Good product,,,
8568,=Excellent=,Glycerine Soap with Vitamin E,,,
8569,=Unsatisfactory=,Very Rough,,,
8570,=VeryGood=,No white cast!!!,,,
8571,=Unsatisfactory=,Nothing special,,,
8572,=Poor=,WARNING: may cause wrinkles and burning sensation,,,
8573,=Poor=,just a waste of money,,,
8574,=Good=,doesn't seem to be working on me,,,
8575,=Excellent=,Great product,,,
8576,=Unsatisfactory=,"contains protein, so try with caution; hair may become dry",,,
8577,=Poor=,Sticky & strong alcohol smell,,,
8578,=Poor=,not what I expected,,,
8579,=Excellent=,"Smooths down, literally.",,,
8580,=VeryGood=,Love this product.,,,
8581,=Poor=,Looked purple,,,
8582,=VeryGood=,"It Feels Really Nice, But Too Expensive!",,,
8583,=Poor=,Too Strong scented!!,,,
8584,=Good=,Its ok,,,
8585,=Unsatisfactory=,Meh...,,,
8586,=VeryGood=,I like it,,,
8587,=Good=,"Works sort of, for a while anyway",,,
8588,=VeryGood=,PEDICURE TOE SEPERATOR,,,
8589,=VeryGood=,A Little Goes A Long Way,,,
8590,=Unsatisfactory=,I don't really like it,,,
8591,=VeryGood=,Be diligent,,,
8592,=Good=,Not really for short or simple hair,,,
8593,=VeryGood=,Works & does make a difference,,,
8594,=VeryGood=,Hilarious!,,,
8595,=Unsatisfactory=,Greasy...,,,
8596,=Good=,Three Stars,,,
8597,=Good=,Get what you pay for,,,
8598,=VeryGood=,Great Mirror,,,
8599,=Unsatisfactory=,Do not waste your money!,,,
8600,=Poor=,dr hauschka moisturizing day cream,,,
8601,=VeryGood=,works really well,,,
8602,=Good=,Cute but waxy,,,
8603,=Poor=,This product felt like it damaged my hair more.,,,
8604,=Good=,"Ok for everday use, but don't skip a day",,,
8605,=VeryGood=,A SOPHISTICATED ORIENTAL FRAGRANCE,,,
8606,=Poor=,Doesn't do anything,,,
8607,=Poor=,Wont buy again,,,
8608,=Excellent=,"Bought these for my wife, and she was absolutely pleased with them! Beware of other brands from what I've read",,,
8609,=Unsatisfactory=,makes my wife smell worse when she works out,,,
8610,=Good=,I do not like it.,,,
8611,=Excellent=,Perfect Pale pink,,,
8612,=Good=,Basically a Sunscreen,,,
8613,=VeryGood=,"Not a miracle worker but a high quality, non-drying cleanser",,,
8614,=Unsatisfactory=,First-hand comparison between Clarisonic and Nutra Sonic Sonic Skin Care Systems,,,
8615,=Poor=,This is a Tangler,,,
8616,=Poor=,Buyer Beware!!!,,,
8617,=Excellent=,The Creme De La Creme of Creams!,,,
8618,=Poor=,"Finulite - The End to Cellulite, AM/PM Cellulite Cream (2 - 4 oz bottles)",,,
8619,=Excellent=,Great!,,,
8620,=Unsatisfactory=,What.Happened?,,,
8621,=Unsatisfactory=,Did not give me enough SPF protection,,,
8622,=Good=,Good for practice,,,
8623,=Unsatisfactory=,Not for me,,,
8624,=Unsatisfactory=,Burns eyes and gives pimples,,,
8625,=Good=,"Greasy, greasy greasy.",,,
8626,=Good=,"Amazing gloss, unsanitary packaging",,,
8627,=Unsatisfactory=,Creamy,,,
8628,=Unsatisfactory=,"Eh, I can't tell if it's working",,,
8629,=Poor=,Leaves marks on lids,,,
8630,=Excellent=,awesome,,,
8631,=VeryGood=,Awesome product! Almost perfect,,,
8632,=Unsatisfactory=,doesnt work,,,
8633,=Good=,Bang for your buck but very low quality!,,,
8634,=VeryGood=,A great leave in conditioner,,,
8635,=Unsatisfactory=,"no Lightening, no Brightening,......NOTHING",,,
8636,=VeryGood=,Good product!,,,
8637,=VeryGood=,Nice change of pace,,,
8638,=Good=,There's good and bad...,,,
8639,=Good=,So far nothing..but I've only added it to my conditioner not my hair dye.,,,
8640,=Unsatisfactory=,I don't like the scent of this,,,
8641,=Good=,Alba a good summer cream,,,
8642,=Excellent=,Amazing for my acne,,,
8643,=VeryGood=,nice,,,
8644,=Excellent=,Great Anti Itch Lotion,,,
8645,=Unsatisfactory=,Super softening but drying,,,
8646,=Poor=,Nope not this one,,,
8647,=Good=,Not bad,,,
8648,=Good=,Good  but watered down,,,
8649,=Excellent=,Great Buffer,,,
8650,=Unsatisfactory=,Had to stop using due to skin sensitivity,,,
8651,=Excellent=,Great for removing nail polish mistakes,,,
8652,=Poor=,save your money,,,
8653,=VeryGood=,Good tanning lotion.,,,
8654,=VeryGood=,"the right idea, not quite the right formula",,,
8655,=Excellent=,Love this stuff!,,,
8656,=Poor=,is this infused with itching powder?,,,
8657,=VeryGood=,Great,,,
8658,=VeryGood=,A Mini Spa Treatment at Home,,,
8659,=Unsatisfactory=,Expected More,,,
8660,=Excellent=,Great for those who are lucky enough to have soft water,,,
8661,=Unsatisfactory=,good idea but not a great product,,,
8662,=VeryGood=,They are alright,,,
8663,=VeryGood=,Mellows a little as it dries,,,
8664,=Excellent=,Pretty Silvery Shade!,,,
8665,=Unsatisfactory=,?,,,
8666,=Good=,"100% pure facial peel, pineapple enzyme facial peel 2.0 oz",,,
8667,=Unsatisfactory=,Cute,,,
8668,=Excellent=,Works!,,,
8669,=Good=,JUST okay,,,
8670,=Unsatisfactory=,Careful,,,
8671,=Good=,Indifferent,,,
8672,=Unsatisfactory=,Too Pasty,,,
8673,=Good=,"Great product, too expensive and too small",,,
8674,=VeryGood=,great,,,
8675,=VeryGood=,This is the first eye cream,,,
8676,=Poor=,Never again,,,
8677,=Unsatisfactory=,meh,,,
8678,=VeryGood=,Feels great on face too!,,,
8679,=Good=,Its OK,,,
8680,=Good=,ok,,,
8681,=Excellent=,"PERFECT CLEANSER FOR KITCHEN RIDS HAND OF SMELLS, GREASE AND SMELLS DEVINE-UNISEX",,,
8682,=Unsatisfactory=,IT WAS NOT GOOD FOR MY ALREADY DRY HAIR B/C...,,,
8683,=Excellent=,Works great!,,,
8684,=Poor=,These nails are not natural,,,
8685,=Poor=,No good,,,
8686,=VeryGood=,"Nice and easy fitting system, though a bit uncomfortable",,,
8687,=Good=,No opaque like the picture.,,,
8688,=Excellent=,legendary universal household cleaner from 1960's....,,,
8689,=Unsatisfactory=,Dries and flakes,,,
8690,=Good=,Will stick with Deep Dove Moisture,,,
8691,=VeryGood=,worked well for travel,,,
8692,=Unsatisfactory=,Seems like a nice straightener but it ripped my hair out,,,
8693,=VeryGood=,Good product!,,,
8694,=Good=,Good for covering dark under eyes!,,,
8695,=Good=,"It's not a miracle cure, but you can see results",,,
8696,=Good=,really wanted to like this,,,
8697,=Unsatisfactory=,Does Not Work For Me,,,
8698,=Poor=,Total waste,,,
8699,=Good=,Right color,,,
8700,=VeryGood=,LOVE this tinted moisturizer,,,
8701,=Excellent=,A Great Non-Clumping Mascara,,,
8702,=VeryGood=,"Takes a while to heat up, but good",,,
8703,=Good=,I like to wear this alone,,,
8704,=VeryGood=,Works well,,,
8705,=Excellent=,Five Stars,,,
8706,=Excellent=,highly recommend it,,,
8707,=Unsatisfactory=,"Good product, but overpriced - seller deceptive",,,
8708,=Good=,Will continue to use this....,,,
8709,=VeryGood=,great price,,,
8710,=Poor=,Mary Kay Oil Control Lotion,,,
8711,=VeryGood=,pretty damn good!!,,,
8712,=VeryGood=,Works well,,,
8713,=Good=,sealing serum,,,
8714,=VeryGood=,Not bad,,,
8715,=Good=,same as always,,,
8716,=Good=,"I love the product, but my skin hates it",,,
8717,=Unsatisfactory=,No-ture No-ture,,,
8718,=Good=,Good technology. Dicey device.,,,
8719,=Unsatisfactory=,Okay,,,
8720,=Unsatisfactory=,TOO LONG,,,
8721,=Unsatisfactory=,too sticky and smelly,,,
8722,=Poor=,Cheap product,,,
8723,=Excellent=,great deal,,,
8724,=Unsatisfactory=,Not Recommended,,,
8725,=Unsatisfactory=,M2 Skin Care HP Skin Refinish 20% 50 ml.,,,
8726,=Excellent=,"Creates smooth, soft waves",,,
8727,=Excellent=,Tutti Fruiti Tonga,,,
8728,=Unsatisfactory=,Not worth the money!,,,
8729,=Excellent=,"TRUELY AMAZING, AND FULL OF GRACE!!",,,
8730,=Good=,Biotin,,,
8731,=Good=,"For the price,it delievers",,,
8732,=Poor=,Forget  about it and get a cheapy powder from the drug store,,,
8733,=Poor=,Wife Hates It,,,
8734,=Good=,Pretty Okay Face Wash (B- Grade),,,
8735,=Unsatisfactory=,Its ok,,,
8736,=Good=,A Bit Greasy,,,
8737,=VeryGood=,So Far So Good (Dry Brittle Nails),,,
8738,=Excellent=,EXCELLENT!,,,
8739,=Good=,Too Greasy,,,
8740,=Unsatisfactory=,Did not work for me,,,
8741,=Unsatisfactory=,String cheese,,,
8742,=Unsatisfactory=,Too fragrant,,,
8743,=VeryGood=,Works as expected.!,,,
8744,=VeryGood=,enjoyable,,,
8745,=VeryGood=,Read this before buying!,,,
8746,=Unsatisfactory=,Don't bother,,,
8747,=Poor=,"My Box Color Said Darkest Brown, My Hair Color Result Was Blue/Black",,,
8748,=Excellent=,Great face cleanser!!,,,
8749,=Good=,Light citrus smelling lotion; do not use after shaving legs!,,,
8750,=Excellent=,Jamaica Me Crazy and Big Spender,,,
8751,=Unsatisfactory=,I expected more from a Pantene product,,,
8752,=VeryGood=,Good.,,,
8753,=Unsatisfactory=,Not a fan,,,
8754,=VeryGood=,AA type Hair Review,,,
8755,=VeryGood=,"Great smell, very moisturizing",,,
8756,=Poor=,Worst Breakout I Have Every Had!,,,
8757,=Excellent=,Spornette Are My Favorite Hair Brush,,,
8758,=Good=,Okay but not the best for Oily skin!,,,
8759,=Unsatisfactory=,not too fond of it,,,
8760,=Poor=,Say NO to Carrots: Allergic reaction and poor customer service,,,
8761,=Unsatisfactory=,Shedding the 1st time used,,,
8762,=VeryGood=,Grew on me,,,
8763,=Poor=,horrible!,,,
8764,=Excellent=,Imagine my surprise: the best is one of the cheapest,,,
8765,=Excellent=,Best skin care product I've ever found,,,
8766,=Good=,It definitely works,,,
8767,=Good=,Lovely but,,,
8768,=Poor=,Arsenic icky,,,
8769,=Good=,Very nice base coat with the added benefit of a strengthener.,,,
8770,=VeryGood=,Not for me,,,
8771,=Good=,I think this is just okay,,,
8772,=Excellent=,Awesome hand cream,,,
8773,=VeryGood=,"Protects, Mild Scent, Mostly Natural",,,
8774,=Good=,face steamer,,,
8775,=Poor=,Don't waste your money,,,
8776,=Good=,just OK,,,
8777,=Good=,Good Brush,,,
8778,=Excellent=,Lots of strong bristles,,,
8779,=Excellent=,Amazing Results,,,
8780,=Excellent=,Instant Heat Hot Brush,,,
8781,=Poor=,Useless,,,
8782,=Excellent=,Great comb,,,
8783,=Poor=,loreal cream cleanser,,,
8784,=VeryGood=,Excellent,,,
8785,=Good=,"Good variety of scents, but not much lather.",,,
8786,=VeryGood=,Great night cream,,,
8787,=Unsatisfactory=,Good product,,,
8788,=Excellent=,Never without this (use subscribe and save),,,
8789,=Unsatisfactory=,John Frieda Frizz Ease Curl Perfecting Spray did not do anything for my curls,,,
8790,=Unsatisfactory=,Didn't work for me,,,
8791,=VeryGood=,"Worthless by itself, Great with other items",,,
8792,=Excellent=,You get what you pay for!,,,
8793,=Good=,eh,,,
8794,=Good=,Easy to Use but No Staying Power,,,
8795,=Unsatisfactory=,store brands are better,,,
8796,=VeryGood=,Nice,,,
8797,=VeryGood=,Okay so far,,,
8798,=Unsatisfactory=,Very disappointed- strips hair color!,,,
8799,=Poor=,"Not impressed with this product, unfortunately....",,,
8800,=Unsatisfactory=,beware of color,,,
8801,=Poor=,NOT impressed,,,
8802,=VeryGood=,Hit or miss depending on your hair type,,,
8803,=Excellent=,MACalicious,,,
8804,=Poor=,A waste of $,,,
8805,=Unsatisfactory=,Not for me,,,
8806,=Unsatisfactory=,Witch Hazel is an irritant,,,
8807,=VeryGood=,Only 10% AHA/Glycolic Compound,,,
8808,=Poor=,Gave me a sunburn,,,
8809,=VeryGood=,My Daughters hair is Purple!!!,,,
8810,=Poor=,Stings my skin!,,,
8811,=Excellent=,excellent moisturizer,,,
8812,=Poor=,Disappointed,,,
8813,=Unsatisfactory=,Strong perfume smell and too thick for me,,,
8814,=Poor=,BEWARE NOT FOR MEN OF AGE 34 AND BELOW,,,
8815,=VeryGood=,"To Gold For Naturally Dark Blonde, Good for Brunettes?",,,
8816,=VeryGood=,exactly as stated,,,
8817,=Good=,Works great if you use Mineral conealer for your eyes,,,
8818,=VeryGood=,Doesn't have the greatest longevity,,,
8819,=VeryGood=,I really like this moisturizer.,,,
8820,=Good=,It's good,,,
8821,=Unsatisfactory=,So-so,,,
8822,=Good=,Overrated,,,
8823,=Unsatisfactory=,It works Very Very moderarely,,,
8824,=Poor=,Bought 6 colors and remover!,,,
8825,=Poor=,Does not do much that I can tell,,,
8826,=Good=,"Hair, and scalp healthier",,,
8827,=Poor=,Like painting my nails with a knife,,,
8828,=Unsatisfactory=,This product did not work for me.,,,
8829,=Poor=,Unfortunate Rancidity Issues With Lipstick,,,
8830,=VeryGood=,Great smell,,,
8831,=Good=,Generic Scrub Gloves - They Do the Trick,,,
8832,=Unsatisfactory=,Not what I expected,,,
8833,=Unsatisfactory=,Feels incredibly drying!,,,
8834,=VeryGood=,wonderful smell,,,
8835,=Good=,Too smelly,,,
8836,=VeryGood=,Tough & Fast Drying,,,
8837,=VeryGood=,Good Buy,,,
8838,=Good=,It dries hair.,,,
8839,=Unsatisfactory=,Watts Beauty 100% Can't tell the different,,,
8840,=Good=,"Effective, But Scent (Although Pleasant) Is A Bit Too Pronounced For My Personal Taste",,,
8841,=VeryGood=,Works for my very dry skin in a very dry climate,,,
8842,=Excellent=,Love this!!,,,
8843,=Good=,It's just ok...,,,
8844,=Unsatisfactory=,Disappointed,,,
8845,=Excellent=,Great product.,,,
8846,=VeryGood=,Nice Cream.,,,
8847,=Good=,I  brought this based on the reviews i saw on youtube,,,
8848,=Unsatisfactory=,Great shine and smell!!,,,
8849,=Good=,Helps heal pimples faster.,,,
8850,=Excellent=,Calming Oatmeal,,,
8851,=Excellent=,Good price for a very reliable product,,,
8852,=VeryGood=,Love,,,
8853,=Poor=,Returned It After One Use,,,
8854,=Unsatisfactory=,Not for me,,,
8855,=Good=,May work for some people,,,
8856,=Unsatisfactory=,Pull and Pinch  Hair,,,
8857,=Unsatisfactory=,2 1/2 months and NO improvement in pigment,,,
8858,=Excellent=,NO MORE BOTTLES AND TUBES,,,
8859,=Good=,Back Acne Problem,,,
8860,=VeryGood=,Best of the bunch,,,
8861,=VeryGood=,Fabulous!!,,,
8862,=Poor=,Do NOT pay $20 for this!,,,
8863,=Excellent=,"Perfect for full body, even for sensitive users",,,
8864,=Excellent=,Bare Escentuals - the Best in Mineral Makeup,,,
8865,=Unsatisfactory=,Burned my skin something terrible,,,
8866,=Unsatisfactory=,No so Good for Me,,,
8867,=Good=,Not a big difference,,,
8868,=Unsatisfactory=,Disappointed...,,,
8869,=Poor=,"Dried my skin out, after the third day of use!",,,
8870,=Good=,wow... that's a heck of a hairdryer,,,
8871,=Excellent=,My dog loves this.... and so do I!,,,
8872,=Excellent=,great toner!,,,
8873,=Excellent=,A ProActiv for Healthy People who Care About Animals and the Environment,,,
8874,=Poor=,No way,,,
8875,=Good=,All right,,,
8876,=Unsatisfactory=,Two Stars,,,
8877,=Good=,I much prefer the 30 volume kit...,,,
8878,=Unsatisfactory=,Poor quality,,,
8879,=Poor=,Easier to just use fingers,,,
8880,=Unsatisfactory=,Update to my other review,,,
8881,=VeryGood=,Lasts Forever,,,
8882,=Good=,Strong Vapors,,,
8883,=VeryGood=,GREAT,,,
8884,=Good=,Fun,,,
8885,=VeryGood=,I like this stuff,,,
8886,=VeryGood=,Pleasant smelling,,,
8887,=Good=,Ordinary lotion with heating effect,,,
8888,=VeryGood=,Don't buy on amazon!,,,
8889,=VeryGood=,Stops the burn after face peel,,,
8890,=Good=,No applicator either,,,
8891,=Unsatisfactory=,It irritates my skin,,,
8892,=VeryGood=,Zeno zaps my pimples before it gets out of control,,,
8893,=Excellent=,Light and effective,,,
8894,=VeryGood=,Used to love it but it feels a lot more silicon in it now,,,
8895,=Excellent=,works,,,
8896,=Good=,Bottle dried up too quickly.,,,
8897,=Poor=,meh,,,
8898,=Good=,you get what you pay for,,,
8899,=Good=,jo jo from east baltimore,,,
8900,=Unsatisfactory=,Zeno = Costly Heat,,,
8901,=Unsatisfactory=,Not so great - stings & dries,,,
8902,=VeryGood=,"Great lotion, but not worth the double price it raised!!!",,,
8903,=Good=,Eh....,,,
8904,=Excellent=,Nice smell,,,
8905,=VeryGood=,One of the more effective creams,,,
8906,=Poor=,disappointed,,,
8907,=VeryGood=,Nice,,,
8908,=Unsatisfactory=,Not worth the hype,,,
8909,=Excellent=,Yummy!,,,
8910,=Unsatisfactory=,NOT what I ordered.,,,
8911,=Good=,"Not for frizzy hair or a gentle blow dry, very extreme",,,
8912,=Excellent=,Reduces frizz and tangles,,,
8913,=Poor=,This stamper doesnt work!,,,
8914,=Poor=,"'Undetectable Coverage\?!""",,,
8915,=Poor=,terrible quality,,,
8916,=Good=,Not sure..,,,
8917,=Poor=,Does not work on my year old stretch marks from pregnancy,,,
8918,=Unsatisfactory=,Misleading --Not really Kukui oil,,,
8919,=Poor=,"Where's the mascara, indeed!",,,
8920,=Good=,Didn't heat up,,,
8921,=Poor=,i would not recommend this to my worst enemy,,,
8922,=Unsatisfactory=,Not crazy about it...,,,
8923,=Excellent=,The shampoo of my dreams,,,
8924,=Good=,alright mascara,,,
8925,=Unsatisfactory=,NOTHING TO WRITE  HOME  ABOUT,,,
8926,=VeryGood=,good price,,,
8927,=Poor=,Do NOT buy - GRAY/WHITE color comes out of container -- not brunette,,,
8928,=Poor=,Wrong wrong wrong!,,,
8929,=Excellent=,I use it for almost EVERYTHING!,,,
8930,=Unsatisfactory=,Very Oily,,,
8931,=Poor=,Really hate this product,,,
8932,=Poor=,Don't Waste Your Money,,,
8933,=Good=,It's just okay,,,
8934,=VeryGood=,"Meh, its water...",,,
8935,=Good=,Garnier Nutritioniste Deep Wrinkle Treatment,,,
8936,=Poor=,Natural? This thing has more chemicals than an episode of Alex Mack,,,
8937,=Unsatisfactory=,Never used,,,
8938,=Excellent=,Le Male on Sale,,,
8939,=Good=,Three Stars,,,
8940,=Excellent=,Love it!,,,
8941,=Poor=,Go acrylic,,,
8942,=Poor=,Not worth the money!,,,
8943,=Poor=,"REVIEWS at 3, 7, & 9 weeks",,,
8944,=VeryGood=,Very good for everyday use too,,,
8945,=VeryGood=,Not that bad...,,,
8946,=VeryGood=,love this company!,,,
8947,=Unsatisfactory=,Almost but no cigar,,,
8948,=Good=,OK product,,,
8949,=Poor=,Avoid This - Contains Retinyl Palminate!,,,
8950,=Poor=,ZERO STARS IF POSSIBLE,,,
8951,=Excellent=,Great for dry skin!!!,,,
8952,=Unsatisfactory=,Regular,,,
8953,=Poor=,Not sure what all the fuss is about...,,,
8954,=Unsatisfactory=,Does not last,,,
8955,=Excellent=,did make a difference,,,
8956,=VeryGood=,I Like It,,,
8957,=Good=,I love Blue!! but..............,,,
8958,=Excellent=,Good product,,,
8959,=Excellent=,This works,,,
8960,=Poor=,Nothing special,,,
8961,=Good=,Okay,,,
8962,=Poor=,Ginko Biloba?,,,
8963,=VeryGood=,Review Update,,,
8964,=Excellent=,I use it with my M.A.C.,,,
8965,=Poor=,Total waste,,,
8966,=Excellent=,my favorite,,,
8967,=Unsatisfactory=,Funky film on my hair from this,,,
8968,=VeryGood=,heat up fast and stabilizes fast,,,
8969,=Poor=,50% useful,,,
8970,=Poor=,Not Ment for thin hair,,,
8971,=Unsatisfactory=,Not sure what  I'm getting from this .,,,
8972,=Good=,Natural but Chemical-y,,,
8973,=Unsatisfactory=,skip it&#8230;,,,
8974,=Excellent=,A gentle way to tone the skin,,,
8975,=Unsatisfactory=,Strong scent,,,
8976,=Poor=,"Didn't work, WARNING!!!",,,
8977,=Poor=,Broke out from silicones,,,
8978,=Unsatisfactory=,not great,,,
8979,=Excellent=,"Fantastic Smell, Almost Like Doing Aromatherapy When You Shampoo!",,,
8980,=VeryGood=,Even my grandma uses it,,,
8981,=VeryGood=,freah clean smell: lasted for the duration,,,
8982,=VeryGood=,Minimal Reduction,,,
8983,=Poor=,Hair breakage,,,
8984,=Unsatisfactory=,"SHORT, small brush",,,
8985,=Poor=,Disappointed,,,
8986,=VeryGood=,Great Cleanser!,,,
8987,=Excellent=,Love.,,,
8988,=Poor=,Not as advertised!,,,
8989,=Unsatisfactory=,am I doing something wrong?,,,
8990,=Unsatisfactory=,Maybelline flared mascara,,,
8991,=Poor=,About as effective as using my hand to brush my hair,,,
8992,=Good=,Ehh,,,
8993,=Poor=,I guess you get what you pay for,,,
8994,=Poor=,Returned,,,
8995,=Excellent=,"A clean, fresh scent",,,
8996,=Poor=,Awful,,,
8997,=Poor=,Not for sensitive skin,,,
8998,=Excellent=,A favorite,,,
8999,=Excellent=,Very gentle shampoo,,,
9000,=Good=,Not what I thought.,,,
9001,=Unsatisfactory=,Broke My Skin Out!,,,
9002,=Good=,It's okay but hasn't done much more than other face masks have done for me,,,
9003,=Excellent=,"A great volumizer, even for those with no hair skills!",,,
9004,=Unsatisfactory=,It's to bad because I really loved the smell.,,,
9005,=Good=,"reinvigorating, cooling, smells like Vapo-Rub",,,
9006,=Excellent=,"Skin, hair = multi-purpose!",,,
9007,=Unsatisfactory=,Chalking it up to a huge disappointment,,,
9008,=VeryGood=,Acrylic Jars,,,
9009,=Excellent=,Works just as it says it does,,,
9010,=Excellent=,8 oz lasts a LONG time,,,
9011,=VeryGood=,I like it,,,
9012,=Excellent=,This smells amazing!,,,
9013,=VeryGood=,Great Lotion,,,
9014,=Excellent=,Hard to find,,,
9015,=Good=,Meh,,,
9016,=Unsatisfactory=,Washed out color,,,
9017,=Poor=,disappointed,,,
9018,=Excellent=,"They stay in well, and live up to the name",,,
9019,=Unsatisfactory=,ok....,,,
9020,=VeryGood=,Pretty color,,,
9021,=Poor=,no like,,,
9022,=Unsatisfactory=,Can't use it.,,,
9023,=Excellent=,Pureology Convert,,,
9024,=Poor=,Not impressed,,,
9025,=Excellent=,"Value, gentle, but actually cleans",,,
9026,=Unsatisfactory=,little moisture/not high quality like its price,,,
9027,=VeryGood=,Very good for facials,,,
9028,=Good=,Very thick,,,
9029,=Poor=,I'm comparing this to Sebastian hair spray,,,
9030,=Excellent=,Definitely a superior product.,,,
9031,=Unsatisfactory=,Origins,,,
9032,=Poor=,makes you breakout,,,
